Year,Month,Anomaly_Percent
2000-2020 Average,Oct,100
2000-2020 Average,Nov,100
2000-2020 Average,Dec,100
2000-2020 Average,Jan,100
2000-2020 Average,Feb,100
2000-01,Oct,51
2000-01,Nov,189
2000-01,Dec,305
2000-01,Jan,253
2000-01,Feb,130
2001-02,Oct,126
2001-02,Nov,11
2001-02,Dec,32
2001-02,Jan,89
2001-02,Feb,52
2002-03,Oct,110
2002-03,Nov,144
2002-03,Dec,177
2002-03,Jan,156
2002-03,Feb,112
2003-04,Oct,145
2003-04,Nov,112
2003-04,Dec,66
2003-04,Jan,80
2003-04,Feb,42
2004-05,Oct,163
2004-05,Nov,19
2004-05,Dec,31
2004-05,Jan,7
2004-05,Feb,18
2005-06,Oct,159
2005-06,Nov,82
2005-06,Dec,74
2005-06,Jan,33
2005-06,Feb,93
2006-07,Oct,194
2006-07,Nov,180
2006-07,Dec,82
2006-07,Jan,18
2006-07,Feb,173
2007-08,Oct,17
2007-08,Nov,43
2007-08,Dec,30
2007-08,Jan,101
2007-08,Feb,71
2008-09,Oct,39
2008-09,Nov,36
2008-09,Dec,79
2008-09,Jan,149
2008-09,Feb,83
2009-10,Oct,81
2009-10,Nov,120
2009-10,Dec,234
2009-10,Jan,130
2009-10,Feb,249
2010-11,Oct,133
2010-11,Nov,91
2010-11,Dec,155
2010-11,Jan,105
2010-11,Feb,121
2011-12,Oct,82
2011-12,Nov,128
2011-12,Dec,38
2011-12,Jan,18
2011-12,Feb,2
2012-13,Oct,84
2012-13,Nov,108
2012-13,Dec,109
2012-13,Jan,126
2012-13,Feb,72
2013-14,Oct,139
2013-14,Nov,31
2013-14,Dec,112
2013-14,Jan,181
2013-14,Feb,250
2014-15,Oct,100
2014-15,Nov,181
2014-15,Dec,25
2014-15,Jan,71
2014-15,Feb,47
2015-16,Oct,123
2015-16,Nov,35
2015-16,Dec,71
2015-16,Jan,175
2015-16,Feb,183
2016-17,Oct,70
2016-17,Nov,82
2016-17,Dec,40
2016-17,Jan,68
2016-17,Feb,142
2017-18,Oct,31
2017-18,Nov,46
2017-18,Dec,86
2017-18,Jan,73
2017-18,Feb,81
2018-19,Oct,63
2018-19,Nov,173
2018-19,Dec,60
2018-19,Jan,70
2018-19,Feb,45
2019-20,Oct,88
2019-20,Nov,187
2019-20,Dec,195
2019-20,Jan,99
2019-20,Feb,36
2020-21,Oct,108
2020-21,Nov,88
2020-21,Dec,136
2020-21,Jan,113
2020-21,Feb,243
2021-22,Oct,88
2021-22,Nov,18
2021-22,Dec,104
2021-22,Jan,19
2021-22,Feb,20
2022-23,Oct,145
2022-23,Nov,157
2022-23,Dec,263
2022-23,Jan,142
2022-23,Feb,20
2023-24,Oct,199
2023-24,Nov,146
2023-24,Dec,80
2023-24,Jan,143
2023-24,Feb,175
2024-25,Oct,160
2024-25,Nov,66
2024-25,Dec,20
2024-25,Jan,219
2024-25,Feb,101
2025-26,Oct,85
2025-26,Nov,179
2025-26,Dec,143
2025-26,Jan,252
2025-26,Feb,367
